Time,data
230.51,0
230.56,0
230.61,0
230.66,0
230.71,0
230.76,0
230.81,0
230.86,0
230.91,0
230.96,0
231.01,3
231.06,0
231.11,0
231.16,0
231.21,3
231.26,1
231.31,3
231.36,3
231.41,3
231.46,3
231.51,3
231.56,3
231.61,3
231.66,3
231.71,3
231.76,3
231.81,3
231.86,3
231.91,3
231.96,3
232.01,3
232.06,0
232.11,3
232.16,0
232.21,3
232.26,3
232.31,3
232.36,3
232.41,3
232.46,3
232.51,3
232.56,3
232.61,3
232.66,3
232.71,3
232.76,3
232.82,3
232.86,3
232.91,3
232.96,3
233.01,3
233.06,3
233.11,3
233.16,3
233.21,0
233.26,3
233.31,0
233.36,3
233.41,3
233.46,3
233.51,3
233.56,3
233.61,3
233.66,3
233.71,3
233.76,3
233.81,3
233.86,3
233.91,3
233.96,3
234.01,3
234.06,3
234.11,3
234.16,3
234.21,3
234.26,3
234.31,3
234.36,3
234.41,3
234.46,3
234.51,3
234.56,3
234.61,3
234.66,3
234.71,3
234.76,3
234.81,3
234.86,3
234.91,3
234.96,3
235.01,3
235.06,3
235.11,3
235.16,3
235.21,3
235.26,3
