Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
230.51,30.0,0.0,0.0,0.0,0.0,0.0
230.56,30.0,0.0,0.0,0.0,0.0,0.0
230.61,30.0,0.0,0.0,0.0,0.0,0.0
230.66,30.0,0.0,0.0,0.0,0.0,0.0
230.71,30.0,0.0,0.0,0.0,0.0,0.0
230.76,30.0,0.0,0.0,0.0,0.0,0.0
230.81,30.0,0.0,0.0,0.0,0.0,0.0
230.86,30.0,0.0,0.0,0.0,0.0,0.0
230.91,30.0,0.0,0.0,0.0,0.0,0.0
230.96,30.0,0.0,0.0,0.0,0.0,0.0
231.01,30.0,0.0,0.0,0.0,0.0,0.0
231.06,30.0,0.0,0.0,0.0,0.0,0.0
231.11,30.0,0.0,0.0,0.0,0.0,0.0
231.16,30.0,0.0,0.0,0.0,0.0,0.0
231.21,30.0,0.0,0.0,0.0,0.0,0.0
231.26,30.0,0.0,0.0,0.0,0.0,0.0
231.31,30.0,0.0,0.0,0.0,0.0,0.0
231.36,30.0,0.0,0.0,0.0,0.0,0.0
231.41,30.0,0.0,0.0,0.0,0.0,0.0
231.46,30.0,0.0,0.0,0.0,0.0,0.0
231.51,30.0,0.0,0.0,0.0,0.0,0.0
231.56,30.0,0.0,0.0,0.0,0.0,0.0
231.61,30.0,0.0,0.0,0.0,0.0,0.0
231.66,30.0,0.0,0.0,0.0,0.0,0.0
231.71,30.0,0.0,0.0,0.0,0.0,0.0
231.76,30.0,0.0,0.0,0.0,0.0,0.0
231.81,30.0,0.0,0.0,0.0,0.0,0.0
231.86,30.0,0.0,0.0,0.0,0.0,0.0
231.91,30.0,0.0,0.0,0.0,0.0,0.0
231.96,30.0,0.0,0.0,0.0,0.0,0.0
232.01,30.0,0.0,0.0,0.0,0.0,0.0
232.06,30.0,0.0,0.0,0.0,0.0,0.0
232.11,30.0,0.0,0.0,0.0,0.0,0.0
232.16,30.0,0.0,0.0,0.0,0.0,0.0
232.21,30.0,0.0,0.0,0.0,0.0,0.0
232.26,30.0,0.0,0.0,0.0,0.0,0.0
232.31,30.0,0.0,0.0,0.0,0.0,0.0
232.36,30.0,0.0,0.0,0.0,0.0,0.0
232.41,30.0,0.0,0.0,0.0,0.0,0.0
232.46,30.0,0.0,0.0,0.0,0.0,0.0
232.51,30.0,0.0,0.0,0.0,0.0,0.0
232.56,30.0,0.0,0.0,0.0,0.0,0.0
232.61,30.0,0.0,0.0,0.0,0.0,0.0
232.66,30.0,0.0,0.0,0.0,0.0,0.0
232.71,30.0,0.0,0.0,0.0,0.0,0.0
232.76,30.0,0.0,0.0,0.0,0.0,0.0
232.82,30.0,0.0,0.0,0.0,0.0,0.0
232.86,30.0,0.0,0.0,0.0,0.0,0.0
232.91,30.0,0.0,0.0,0.0,0.0,0.0
232.96,30.0,0.0,0.0,0.0,0.0,0.0
233.01,30.0,0.0,0.0,0.0,0.0,0.0
233.06,30.0,0.0,0.0,0.0,0.0,0.0
233.11,30.0,0.0,0.0,0.0,0.0,0.0
233.16,30.0,0.0,0.0,0.0,0.0,0.0
233.21,30.0,0.0,0.0,0.0,0.0,0.0
233.26,30.0,0.0,0.0,0.0,0.0,0.0
233.31,30.0,0.0,0.0,0.0,0.0,0.0
233.36,30.0,0.0,0.0,0.0,0.0,0.0
233.41,30.0,0.0,0.0,0.0,0.0,0.0
233.46,30.0,0.0,0.0,0.0,0.0,0.0
233.51,30.0,0.0,0.0,0.0,0.0,0.0
233.56,30.0,0.0,0.0,0.0,0.0,0.0
233.61,30.0,0.0,0.0,0.0,0.0,0.0
233.66,30.0,0.0,0.0,0.0,0.0,0.0
233.71,30.0,0.0,0.0,0.0,0.0,0.0
233.76,30.0,0.0,0.0,0.0,0.0,0.0
233.81,30.0,0.0,0.0,0.0,0.0,0.0
233.86,30.0,0.0,0.0,0.0,0.0,0.0
233.91,30.0,0.0,0.0,0.0,0.0,0.0
233.96,30.0,0.0,0.0,0.0,0.0,0.0
234.01,30.0,0.0,0.0,0.0,0.0,0.0
234.06,30.0,0.0,0.0,0.0,0.0,0.0
234.11,30.0,0.0,0.0,0.0,0.0,0.0
234.16,30.0,0.0,0.0,0.0,0.0,0.0
234.21,30.0,0.0,0.0,0.0,0.0,0.0
234.26,30.0,0.0,0.0,0.0,0.0,0.0
234.31,30.0,0.0,0.0,0.0,0.0,0.0
234.36,30.0,0.0,0.0,0.0,0.0,0.0
234.41,30.0,0.0,0.0,0.0,0.0,0.0
234.46,30.0,0.0,0.0,0.0,0.0,0.0
234.51,30.0,0.0,0.0,0.0,0.0,0.0
234.56,30.0,0.0,0.0,0.0,0.0,0.0
234.61,30.0,0.0,0.0,0.0,0.0,0.0
234.66,30.0,0.0,0.0,0.0,0.0,0.0
234.71,30.0,0.0,0.0,0.0,0.0,0.0
234.76,30.0,0.0,0.0,0.0,0.0,0.0
234.81,30.0,0.0,0.0,0.0,0.0,0.0
234.86,30.0,0.0,0.0,0.0,0.0,0.0
234.91,30.0,0.0,0.0,0.0,0.0,0.0
234.96,30.0,0.0,0.0,0.0,0.0,0.0
235.01,30.0,0.0,0.0,0.0,0.0,0.0
235.06,30.0,0.0,0.0,0.0,0.0,0.0
235.11,30.0,0.0,0.0,0.0,0.0,0.0
235.16,30.0,0.0,0.0,0.0,0.0,0.0
235.21,30.0,0.0,0.0,0.0,0.0,0.0
235.26,30.0,0.0,0.0,0.0,0.0,0.0
