Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
53.4,8.0,0.0,0.0,0.0,0.0,0.0
53.44,8.0,0.0,0.0,0.0,0.0,0.0
53.49,8.0,0.0,0.0,0.0,0.0,0.0
53.54,8.0,0.0,0.0,0.0,0.0,0.0
53.59,8.0,0.0,0.0,0.0,0.0,0.0
53.64,8.0,0.0,0.0,0.0,0.0,0.0
53.7,8.0,0.0,0.0,0.0,0.0,0.0
53.74,8.0,0.0,0.0,0.0,0.0,0.0
53.79,8.0,0.0,0.0,0.0,0.0,0.0
53.84,8.0,0.0,0.0,0.0,0.0,0.0
53.89,8.0,0.0,0.0,0.0,0.0,0.0
53.94,8.0,0.0,0.0,0.0,0.0,0.0
53.99,8.0,0.0,0.0,0.0,0.0,0.0
54.04,8.0,0.0,0.0,0.0,0.0,0.0
54.09,8.0,0.0,0.0,0.0,0.0,0.0
54.14,8.0,0.0,0.0,0.0,0.0,0.0
54.19,8.0,0.0,0.0,0.0,0.0,0.0
54.25,8.0,0.0,0.0,0.0,0.0,0.0
54.29,8.0,0.0,0.0,0.0,0.0,0.0
54.35,8.0,0.0,0.0,0.0,0.0,0.0
54.39,8.0,0.0,0.0,0.0,0.0,0.0
54.45,8.0,0.0,0.0,0.0,0.0,0.0
54.5,8.0,0.0,0.0,0.0,0.0,0.0
54.55,8.0,0.0,0.0,0.0,0.0,0.0
54.59,8.0,0.0,0.0,0.0,0.0,0.0
54.65,8.0,0.0,0.0,0.0,0.0,0.0
54.69,8.0,0.0,0.0,0.0,0.0,0.0
54.74,8.0,0.0,0.0,0.0,0.0,0.0
54.8,8.0,0.0,0.0,0.0,0.0,0.0
54.85,8.0,0.0,0.0,0.0,0.0,0.0
54.9,8.0,0.0,0.0,0.0,0.0,0.0
54.95,8.0,0.0,0.0,0.0,0.0,0.0
55.0,8.0,0.0,0.0,0.0,0.0,0.0
55.05,8.0,0.0,0.0,0.0,0.0,0.0
55.1,8.0,0.0,0.0,0.0,0.0,0.0
55.14,8.0,0.0,0.0,0.0,0.0,0.0
55.2,8.0,0.0,0.0,0.0,0.0,0.0
55.25,8.0,0.0,0.0,0.0,0.0,0.0
55.3,8.0,0.0,0.0,0.0,0.0,0.0
55.35,8.0,0.0,0.0,0.0,0.0,0.0
55.4,8.0,0.0,0.0,0.0,0.0,0.0
55.45,8.0,0.0,0.0,0.0,0.0,0.0
55.5,8.0,0.0,0.0,0.0,0.0,0.0
55.55,8.0,0.0,0.0,0.0,0.0,0.0
55.6,8.0,0.0,0.0,0.0,0.0,0.0
55.65,8.0,0.0,0.0,0.0,0.0,0.0
55.7,8.0,0.0,0.0,0.0,0.0,0.0
55.75,8.0,0.0,0.0,0.0,0.0,0.0
55.8,8.0,0.0,0.0,0.0,0.0,0.0
55.85,8.0,0.0,0.0,0.0,0.0,0.0
55.9,8.0,0.0,0.0,0.0,0.0,0.0
55.95,8.0,0.0,0.0,0.0,0.0,0.0
56.0,8.0,0.0,0.0,0.0,0.0,0.0
56.05,8.0,0.0,0.0,0.0,0.0,0.0
56.1,8.0,0.0,0.0,0.0,0.0,0.0
56.15,8.0,0.0,0.0,0.0,0.0,0.0
56.2,8.0,0.0,0.0,0.0,0.0,0.0
56.25,8.0,0.0,0.0,0.0,0.0,0.0
56.3,8.0,0.0,0.0,0.0,0.0,0.0
56.35,8.0,0.0,0.0,0.0,0.0,0.0
56.4,8.0,0.0,0.0,0.0,0.0,0.0
56.45,8.0,0.0,0.0,0.0,0.0,0.0
56.5,8.0,0.0,0.0,0.0,0.0,0.0
56.55,8.0,0.0,0.0,0.0,0.0,0.0
56.6,8.0,0.0,0.0,0.0,0.0,0.0
56.65,8.0,0.0,0.0,0.0,0.0,0.0
56.7,8.0,0.0,0.0,0.0,0.0,0.0
56.75,8.0,0.0,0.0,0.0,0.0,0.0
56.8,8.0,0.0,0.0,0.0,0.0,0.0
56.85,8.0,0.0,0.0,0.0,0.0,0.0
56.9,8.0,0.0,0.0,0.0,0.0,0.0
56.95,8.0,0.0,0.0,0.0,0.0,0.0
57.0,8.0,0.0,0.0,0.0,0.0,0.0
57.05,8.0,0.0,0.0,0.0,0.0,0.0
57.1,8.0,0.0,0.0,0.0,0.0,0.0
57.15,8.0,0.0,0.0,0.0,0.0,0.0
57.2,8.0,0.0,0.0,0.0,0.0,0.0
57.25,8.0,0.0,0.0,0.0,0.0,0.0
57.3,8.0,0.0,0.0,0.0,0.0,0.0
57.35,8.0,0.0,0.0,0.0,0.0,0.0
57.4,8.0,0.0,0.0,0.0,0.0,0.0
57.45,8.0,0.0,0.0,0.0,0.0,0.0
57.5,8.0,0.0,0.0,0.0,0.0,0.0
57.55,8.0,0.0,0.0,0.0,0.0,0.0
57.6,8.0,0.0,0.0,0.0,0.0,0.0
57.65,8.0,0.0,0.0,0.0,0.0,0.0
57.7,8.0,0.0,0.0,0.0,0.0,0.0
57.75,8.0,0.0,0.0,0.0,0.0,0.0
57.8,8.0,0.0,0.0,0.0,0.0,0.0
57.85,8.0,0.0,0.0,0.0,0.0,0.0
57.9,8.0,0.0,0.0,0.0,0.0,0.0
57.95,8.0,0.0,0.0,0.0,0.0,0.0
58.0,8.0,0.0,0.0,0.0,0.0,0.0
58.05,8.0,0.0,0.0,0.0,0.0,0.0
58.1,8.0,0.0,0.0,0.0,0.0,0.0
58.15,8.0,0.0,0.0,0.0,0.0,0.0
