Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
53.62,0.0,0.0,0.0,0.0,0.0,-1.5717938940242706
53.67,0.0,0.0,0.0,0.0,0.0,-1.5717984226053232
53.72,0.0,0.0,0.0,0.0,0.0,-1.5718029514311547
53.77,0.0,0.0,0.0,0.0,0.0,-1.5718297831110446
53.82,0.0,0.0,0.0,0.0,0.0,-1.5718142745677268
53.87,0.0,0.0,0.0,0.0,0.0,-1.5718210691855812
53.92,0.0,0.0,0.0,0.0,0.0,-1.571825599237792
53.97,0.0,0.0,0.0,0.0,0.0,-1.5718301295357755
54.02,0.0,0.0,0.0,0.0,0.0,-1.571841456357073
54.07,0.0,0.0,0.0,0.0,0.0,-1.571868298482902
54.12,0.0,0.0,0.0,0.0,0.0,-1.571872830872364
54.17,0.0,0.0,0.0,0.0,0.0,-1.5718773635085606
54.22,0.0,0.0,0.0,0.0,0.0,-1.5718618485171711
54.27,0.0,0.0,0.0,0.0,0.0,-1.5718686470150496
54.32,0.0,0.0,0.0,0.0,0.0,-1.571873179656111
54.37,0.0,0.0,0.0,0.0,0.0,-1.571877712544678
54.42,0.0,0.0,0.0,0.0,0.0,-1.571904564516406
54.47,0.0,0.0,0.0,0.0,0.0,-1.57191136616135
54.52,0.0,0.0,0.0,0.0,0.0,-1.5719159009014474
54.57,0.0,0.0,0.0,0.0,0.0,-1.5719204358898442
54.62,0.0,0.0,0.0,0.0,0.0,-1.5719049150829132
54.67,0.0,0.0,0.0,0.0,0.0,-1.5719117171147805
54.72,0.0,0.0,0.0,0.0,0.0,-1.5719162521137868
54.77,0.0,0.0,0.0,0.0,0.0,-1.5719431145620728
54.82,0.0,0.0,0.0,0.0,0.0,-1.5719499193780715
54.87,0.0,0.0,0.0,0.0,0.0,-1.5719544562339496
54.92,0.0,0.0,0.0,0.0,0.0,-1.5719635306949522
54.97,0.0,0.0,0.0,0.0,0.0,-1.5719480040898897
55.02,0.0,0.0,0.0,0.0,0.0,-1.571954809677967
55.07,0.0,0.0,0.0,0.0,0.0,-1.5719593470497246
55.12,0.0,0.0,0.0,0.0,0.0,-1.571963884672105
55.17,0.0,0.0,0.0,0.0,0.0,-1.5719907600837122
55.22,0.0,0.0,0.0,0.0,0.0,-1.5719975688414132
55.27,0.0,0.0,0.0,0.0,0.0,-1.572002108327239
55.32,0.0,0.0,0.0,0.0,0.0,-1.5719865765490557
55.37,0.0,0.0,0.0,0.0,0.0,-1.5719933853377683
55.42,0.0,0.0,0.0,0.0,0.0,-1.5719979248450167
55.47,0.0,0.0,0.0,0.0,0.0,-1.5720248095307778
55.52,0.0,0.0,0.0,0.0,0.0,-1.5720316211205079
55.57,0.0,0.0,0.0,0.0,0.0,-1.5720361624958803
