Time,data
144.79,2
144.79,2
144.79,2
144.79,2
144.79,2
144.81,2
144.85,2
144.91,2
144.96,2
145.01,2
145.06,2
145.11,2
145.16,2
145.21,2
145.26,2
145.31,2
145.35,2
145.42,2
145.46,2
145.52,2
145.56,2
145.61,2
145.66,2
145.71,2
145.76,2
145.81,2
145.86,2
145.91,2
145.96,2
146.01,2
146.06,2
146.11,2
146.16,2
146.21,2
146.26,2
146.31,2
146.36,2
146.41,2
146.46,2
146.5,2
146.55,2
146.6,2
146.65,2
146.7,2
146.75,2
146.8,2
146.85,2
146.9,2
146.95,2
147.0,2
147.05,2
147.1,2
147.15,2
147.19,2
147.24,2
147.29,2
147.34,2
147.39,2
147.44,2
147.49,2
147.54,2
147.6,2
147.65,2
147.7,2
147.75,2
147.8,2
147.85,2
147.9,2
147.95,2
148.0,2
148.05,3
148.1,3
148.15,3
148.2,3
148.25,3
148.3,3
148.35,3
148.4,3
148.45,3
148.5,3
148.55,3
148.59,3
148.66,3
148.7,3
148.74,3
148.8,3
148.85,3
148.89,3
148.94,3
148.99,3
149.04,3
149.09,3
149.14,3
149.18,3
149.23,3
149.29,3
149.32,3
149.37,3
149.42,3
149.47,3
149.52,3
149.57,3
149.62,3
149.67,3
149.72,3
149.77,3
149.82,3
149.87,3
149.92,3
149.97,3
150.02,3
150.08,3
150.12,3
150.18,3
150.23,3
150.28,3
150.33,3
150.38,3
150.43,3
150.47,3
150.52,3
150.56,3
150.62,3
150.67,3
150.72,3
150.77,3
150.82,3
150.87,3
150.92,3
150.97,3
151.02,3
151.07,3
151.12,3
151.17,3
151.22,3
151.27,3
151.32,3
151.38,3
151.42,3
151.47,3
151.52,3
151.57,3
151.62,3
151.67,3
151.72,3
151.77,3
151.81,3
151.87,3
151.92,3
151.97,3
152.02,3
152.07,3
152.12,3
152.16,3
152.22,3
152.26,3
152.31,3
152.36,3
152.42,3
152.47,3
152.52,3
152.57,3
152.61,3
152.66,3
152.72,3
152.76,3
152.81,3
152.87,3
152.92,3
152.97,3
153.01,3
153.06,3
153.11,3
153.16,3
153.21,3
153.27,3
153.31,3
153.36,3
153.4,3
153.46,3
153.51,3
153.56,3
153.61,3
153.66,3
153.71,3
153.76,3
153.81,3
153.86,3
153.9,3
153.96,3
154.01,3
154.06,3
154.11,3
154.16,3
154.21,3
154.26,3
154.31,3
154.36,3
154.41,3
154.45,3
154.51,3
154.55,3
154.6,3
154.66,3
154.71,3
154.76,3
154.81,3
154.86,3
154.9,3
154.96,3
155.01,3
155.06,3
155.11,3
155.16,3
155.2,3
155.26,3
155.31,3
155.35,3
155.39,3
155.45,3
155.5,3
155.55,3
155.6,3
155.65,3
155.7,3
155.75,3
155.8,3
155.85,3
155.9,3
155.95,3
156.0,3
156.05,3
156.1,3
156.15,3
156.21,3
156.25,3
156.3,3
156.35,3
156.41,3
156.46,3
156.5,3
156.55,3
156.61,3
156.65,3
156.7,3
156.76,3
156.81,3
156.85,3
156.9,3
156.96,3
157.0,3
157.05,3
157.11,3
157.16,3
157.2,3
157.25,3
157.3,3
157.35,3
157.4,3
157.45,3
157.5,3
157.55,3
157.6,3
157.64,3
157.69,3
157.75,3
157.79,3
157.84,3
157.89,3
157.94,3
158.0,3
158.05,3
158.1,3
158.15,3
158.2,3
158.24,3
158.3,3
158.34,3
158.39,3
158.44,3
158.49,3
158.55,3
158.59,3
158.64,3
158.7,3
158.74,3
158.79,3
158.84,3
158.89,3
158.94,3
158.99,3
159.04,3
159.1,3
159.15,3
159.2,3
159.24,3
159.29,3
159.35,3
159.4,3
159.45,3
159.5,3
159.55,3
159.6,3
159.65,3
159.7,3
159.74,3
159.79,3
159.84,3
159.89,3
159.94,3
159.99,3
160.04,3
160.09,3
160.14,3
160.19,3
160.24,3
160.29,3
160.35,3
160.39,3
160.44,3
160.49,3
160.54,3
160.59,3
160.63,3
160.68,3
160.74,3
160.78,3
160.84,3
160.88,3
160.94,3
160.99,3
161.04,3
161.09,3
161.14,3
161.19,3
161.24,3
161.28,3
161.34,3
161.38,3
161.43,3
161.48,3
161.53,3
161.58,3
161.64,3
161.69,3
161.74,3
161.78,3
161.83,3
161.88,3
161.93,3
161.98,3
162.03,3
162.08,3
162.13,3
162.18,3
162.23,3
162.28,3
162.33,3
162.38,3
162.43,3
162.47,3
162.52,3
162.58,3
162.63,3
162.67,3
162.73,3
162.77,3
162.82,3
162.87,3
162.92,3
162.97,3
163.01,3
163.07,2
163.12,2
163.17,2
163.22,2
163.27,2
163.32,2
163.37,2
163.42,2
163.47,2
163.52,2
163.57,2
163.62,2
163.67,2
163.72,2
163.77,2
163.82,2
163.87,2
163.92,2
163.97,2
164.03,2
164.07,2
164.12,2
164.17,2
164.22,2
164.27,2
164.32,2
164.37,2
164.42,2
164.48,2
164.52,2
164.57,2
164.62,2
164.67,2
164.71,2
164.76,2
164.82,2
164.87,2
164.93,2
164.97,2
165.02,2
165.07,2
