Time,data
79.03,2
79.08,2
79.13,2
79.18,2
79.23,2
79.28,2
79.33,2
79.38,2
79.43,2
79.48,2
79.53,2
79.58,2
79.63,2
79.68,2
79.73,2
79.78,2
79.83,2
79.88,2
79.93,2
79.98,2
80.03,2
80.08,2
80.13,2
80.18,2
80.23,2
80.28,2
80.33,2
80.38,2
80.43,2
80.48,2
80.53,2
80.58,2
80.63,2
80.68,2
80.73,2
80.78,2
80.83,2
80.88,2
80.93,2
80.98,1
81.03,1
81.08,1
81.13,1
81.18,1
81.23,1
81.28,1
81.33,1
81.38,1
81.43,2
81.48,2
81.53,2
81.58,2
81.63,2
81.68,2
81.73,2
81.78,2
81.83,2
81.88,2
81.93,2
81.98,2
82.03,2
82.08,2
82.13,2
82.18,2
82.23,2
82.28,2
82.33,2
82.38,2
82.43,2
82.48,2
82.53,2
82.58,2
82.63,2
82.68,2
82.73,2
82.78,2
82.83,2
82.88,2
82.93,2
82.98,2
83.03,2
83.08,2
83.13,2
83.18,2
83.23,2
83.28,2
83.33,2
83.38,2
83.43,2
83.48,2
83.53,2
83.58,2
83.63,2
83.68,2
83.73,2
83.78,2
83.83,2
83.88,1
83.93,1
83.98,1
84.03,1
84.08,1
84.13,1
84.18,1
84.23,1
84.28,1
84.33,1
84.38,1
84.43,1
84.48,1
84.53,1
84.58,2
84.63,2
84.68,2
84.73,2
84.78,2
84.83,2
84.88,2
84.93,2
84.98,2
85.03,2
85.08,2
85.13,2
85.18,2
85.23,2
85.28,2
85.33,2
85.38,2
85.43,2
85.48,2
85.53,2
85.58,2
85.63,2
85.68,2
85.73,2
85.78,2
85.83,2
85.88,2
85.93,2
85.98,2
86.03,2
86.08,2
86.13,2
86.18,2
86.23,2
86.28,2
86.33,2
86.38,2
86.43,2
86.48,2
86.53,2
86.58,2
86.63,2
86.68,2
86.73,2
86.78,2
86.83,2
86.88,2
86.93,2
86.98,2
87.03,2
87.08,2
87.13,2
87.18,2
87.23,2
87.28,2
87.33,2
87.38,2
87.43,2
87.48,2
87.53,2
87.58,2
87.63,2
87.68,2
87.73,2
87.78,2
87.83,2
87.88,2
87.93,2
87.98,2
88.03,2
88.08,2
88.13,2
88.18,2
88.23,2
88.28,2
88.33,2
88.38,2
88.43,2
88.48,2
88.53,2
88.58,2
88.63,2
88.68,2
88.73,2
88.78,2
88.83,2
88.88,2
88.93,2
88.98,2
89.03,2
89.08,2
89.13,2
89.18,2
89.23,2
89.28,2
89.33,2
89.38,2
89.43,2
89.48,2
89.53,2
89.58,2
89.63,2
89.68,2
89.73,2
89.78,2
89.83,2
89.88,2
89.93,2
89.98,2
90.03,2
90.08,2
90.13,2
90.18,2
90.23,2
90.28,2
90.33,2
90.38,2
90.43,2
90.48,2
90.53,2
90.58,2
90.63,2
90.68,2
90.73,2
90.78,2
90.83,2
90.88,2
90.93,2
90.98,2
91.03,2
91.08,2
91.13,2
91.18,2
91.23,2
91.28,2
91.33,2
91.38,2
91.43,2
91.48,1
91.53,1
91.58,1
91.63,1
91.68,2
91.73,2
91.78,2
91.83,2
91.88,2
91.93,2
91.98,2
92.03,2
92.08,2
92.13,2
92.18,2
92.23,2
92.28,2
92.33,2
92.38,2
92.43,2
92.48,2
92.53,2
92.58,2
92.63,2
92.68,2
92.73,2
92.78,2
92.83,2
92.88,2
92.93,2
92.98,2
93.03,2
93.08,2
93.13,2
