Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
79.13,-0.0035933638274758973,0.0,0.0,0.0,0.0,0.0
79.18,-0.0035382983363595505,0.0,0.0,0.0,0.0,0.0
79.23,-0.00359314487097759,0.0,0.0,0.0,0.0,0.0
79.28,-0.00365670171937377,0.0,0.0,0.0,0.0,0.0
79.33,-0.0034737752086313077,0.0,0.0,0.0,0.0,0.0
79.38,-0.003669148057943482,0.0,0.0,0.0,0.0,0.0
79.43,-0.003589698651100037,0.0,0.0,0.0,0.0,0.0
79.48,-0.0035355236564250307,0.0,0.0,0.0,0.0,0.0
79.53,-0.0034836097268940982,0.0,0.0,0.0,0.0,0.0
79.58,-0.0035602845072444287,0.0,0.0,0.0,0.0,0.0
79.63,-0.003739051544798596,0.0,0.0,0.0,0.0,0.0
79.68,-0.0036631110588475056,0.0,0.0,0.0,0.0,0.0
79.73,-0.003588999446342953,0.0,0.0,0.0,0.0,0.0
79.78,-0.00353462838955056,0.0,0.0,0.0,0.0,0.0
79.83,-0.0034789130036411765,0.0,0.0,0.0,0.0,0.0
79.88,-0.0034514211429986772,0.0,0.0,0.0,0.0,0.0
79.93,-0.0035192108275620033,0.0,0.0,0.0,0.0,0.0
79.98,-0.0037102855049906355,0.0,0.0,0.0,0.0,0.0
80.03,-0.003638839317327139,0.0,0.0,0.0,0.0,0.0
80.08,-0.0035828970606018,0.0,0.0,0.0,0.0,0.0
80.13,-0.0035264530386286794,0.0,0.0,0.0,0.0,0.0
80.18,-0.0034890503892383152,0.0,0.0,0.0,0.0,0.0
80.23,-0.0036244850819622137,0.0,0.0,0.0,0.0,0.0
80.28,-0.0037572512516700625,0.0,0.0,0.0,0.0,0.0
80.33,-0.0036634569609315863,0.0,0.0,0.0,0.0,0.0
80.38,-0.003595508799264797,0.0,0.0,0.0,0.0,0.0
80.43,-0.003523957826536886,0.0,0.0,0.0,0.0,0.0
80.48,-0.003480776528004328,0.0,0.0,0.0,0.0,0.0
80.53,-0.0033040092611794332,0.0,0.0,0.0,0.0,0.0
80.58,-0.0036918879433410724,0.0,0.0,0.0,0.0,0.0
80.63,-0.003600541057867556,0.0,0.0,0.0,0.0,0.0
80.68,-0.0035211189162140106,0.0,0.0,0.0,0.0,0.0
80.73,-0.0034616128791953218,0.0,0.0,0.0,0.0,0.0
80.78,-0.003413958631102762,0.0,0.0,0.0,0.0,0.0
80.83,0.039782785636070864,0.0,0.0,0.0,0.0,0.0
80.88,0.6258710624062596,0.0,0.0,0.0,0.0,0.0
80.93,1.0180113581886694,0.0,0.0,0.0,0.0,0.0
80.98,1.4865581861550168,0.0,0.0,0.0,0.0,0.0
81.03,2.0193129752264944,0.0,0.0,0.0,0.0,0.0
81.08,2.58626185398941,0.0,0.0,0.0,0.0,0.0
81.13,3.898280605867346,0.0,0.0,0.0,0.0,0.0
81.18,4.767246303637426,0.0,0.0,0.0,0.0,0.0
81.23,5.583383173698515,0.0,0.0,0.0,0.0,0.0
81.28,5.605927126905063,0.0,0.0,0.0,0.0,0.0
81.33,5.986532943892534,0.0,0.0,0.0,0.0,0.0
81.38,7.067291458046693,0.0,0.0,0.0,0.0,0.0
81.43,7.358435250063481,0.0,0.0,0.0,0.0,0.0
81.48,7.658833148681339,0.0,0.0,0.0,0.0,0.0
81.53,8.548711668420715,0.0,0.0,0.0,0.0,0.0
81.58,9.708876819031044,0.0,0.0,0.0,0.0,0.0
81.63,9.644683262011323,0.0,0.0,0.0,0.0,0.0
81.68,11.345635929557325,0.0,0.0,0.0,0.0,0.0
81.73,11.675565300649877,0.0,0.0,0.0,0.0,0.0
81.78,11.873622869456971,0.0,0.0,0.0,0.0,0.0
81.83,11.949095164387717,0.0,0.0,0.0,0.0,0.0
81.88,12.379590092728,0.0,0.0,0.0,0.0,0.0
81.93,13.168557061045373,0.0,0.0,0.0,0.0,0.0
81.98,12.99688615230834,0.0,0.0,0.0,0.0,0.0
82.03,12.766472142628551,0.0,0.0,0.0,0.0,0.0
82.08,12.50372353570815,0.0,0.0,0.0,0.0,0.0
82.13,12.233604998676377,0.0,0.0,0.0,0.0,0.0
82.18,11.979181744786407,0.0,0.0,0.0,0.0,0.0
82.23,12.17959801126371,0.0,0.0,0.0,0.0,0.0
82.28,12.837651554131792,0.0,0.0,0.0,0.0,0.0
82.33,12.519366812102092,0.0,0.0,0.0,0.0,0.0
82.38,12.130372367738197,0.0,0.0,0.0,0.0,0.0
82.43,11.67016657019818,0.0,0.0,0.0,0.0,0.0
82.48,11.163911438797088,0.0,0.0,0.0,0.0,0.0
82.53,10.632129410115061,0.0,0.0,0.0,0.0,0.0
82.58,11.065188930772731,0.0,0.0,0.0,0.0,0.0
82.63,10.480127797555113,0.0,0.0,0.0,0.0,0.0
82.68,9.859711749197912,0.0,0.0,0.0,0.0,0.0
82.73,9.213369756974076,0.0,0.0,0.0,0.0,0.0
82.78,8.573662788327269,0.0,0.0,0.0,0.0,0.0
82.83,7.95571821732362,0.0,0.0,0.0,0.0,0.0
82.88,7.982010817766985,0.0,0.0,0.0,0.0,0.0
82.93,7.191222368267603,0.0,0.0,0.0,0.0,0.0
82.98,6.387678056410179,0.0,0.0,0.0,0.0,0.0
83.03,5.597120339969104,0.0,0.0,0.0,0.0,0.0
83.08,4.8425513635068596,0.0,0.0,0.0,0.0,0.0
83.13,4.457307456871911,0.0,0.0,0.0,0.0,0.0
83.18,4.026500788337087,0.0,0.0,0.0,0.0,0.0
83.23,3.6624757761311972,0.0,0.0,0.0,0.0,0.0
83.28,2.9263419018732906,0.0,0.0,0.0,0.0,0.0
83.33,2.4447790586547438,0.0,0.0,0.0,0.0,0.0
83.38,2.440745894000007,0.0,0.0,0.0,0.0,0.0
83.43,2.0418539868063466,0.0,0.0,0.0,0.0,0.0
83.48,1.6834859659515802,0.0,0.0,0.0,0.0,0.0
83.53,1.5652150490159231,0.0,0.0,0.0,0.0,0.0
83.58,1.4686465483568174,0.0,0.0,0.0,0.0,0.0
83.63,0.9690052492441872,0.0,0.0,0.0,0.0,0.0
83.68,1.100266167080954,0.0,0.0,0.0,0.0,0.0
83.73,0.8408231418180137,0.0,0.0,0.0,0.0,0.0
83.78,0.6145682026861214,0.0,0.0,0.0,0.0,0.0
83.83,0.42670639962431256,0.0,0.0,0.0,0.0,0.0
83.88,0.609442530890802,0.0,0.0,0.0,0.0,0.0
83.93,1.0171947523045475,0.0,0.0,0.0,0.0,0.0
83.98,1.5477993912610195,0.0,0.0,0.0,0.0,0.0
84.03,1.7422899659299387,0.0,0.0,0.0,0.0,0.0
84.08,1.8967130157255112,0.0,0.0,0.0,0.0,0.0
84.13,2.022429918836104,0.0,0.0,0.0,0.0,0.0
84.18,2.1377020183400925,0.0,0.0,0.0,0.0,0.0
84.23,2.4481937088871764,0.0,0.0,0.0,0.0,0.0
84.28,2.8830766585672696,0.0,0.0,0.0,0.0,0.0
84.33,2.9584311408736856,0.0,0.0,0.0,0.0,0.0
84.38,2.8724232742269065,0.0,0.0,0.0,0.0,0.0
84.43,2.8583000074333738,0.0,0.0,0.0,0.0,0.0
84.48,2.8075873079354206,0.0,0.0,0.0,0.0,0.0
84.53,3.0830307215073303,0.0,0.0,0.0,0.0,0.0
