Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
79.03,30.0,0.0,0.0,0.0,0.0,0.0
79.08,30.0,0.0,0.0,0.0,0.0,0.0
79.13,30.0,0.0,0.0,0.0,0.0,0.0
79.18,30.0,0.0,0.0,0.0,0.0,0.0
79.23,30.0,0.0,0.0,0.0,0.0,0.0
79.28,30.0,0.0,0.0,0.0,0.0,0.0
79.33,30.0,0.0,0.0,0.0,0.0,0.0
79.38,30.0,0.0,0.0,0.0,0.0,0.0
79.43,30.0,0.0,0.0,0.0,0.0,0.0
79.48,30.0,0.0,0.0,0.0,0.0,0.0
79.53,30.0,0.0,0.0,0.0,0.0,0.0
79.58,30.0,0.0,0.0,0.0,0.0,0.0
79.63,30.0,0.0,0.0,0.0,0.0,0.0
79.68,30.0,0.0,0.0,0.0,0.0,0.0
79.73,30.0,0.0,0.0,0.0,0.0,0.0
79.78,30.0,0.0,0.0,0.0,0.0,0.0
79.83,30.0,0.0,0.0,0.0,0.0,0.0
79.88,30.0,0.0,0.0,0.0,0.0,0.0
79.93,30.0,0.0,0.0,0.0,0.0,0.0
79.98,30.0,0.0,0.0,0.0,0.0,0.0
80.03,30.0,0.0,0.0,0.0,0.0,0.0
80.08,30.0,0.0,0.0,0.0,0.0,0.0
80.13,30.0,0.0,0.0,0.0,0.0,0.0
80.18,30.0,0.0,0.0,0.0,0.0,0.0
80.23,30.0,0.0,0.0,0.0,0.0,0.0
80.28,30.0,0.0,0.0,0.0,0.0,0.0
80.33,30.0,0.0,0.0,0.0,0.0,0.0
80.38,30.0,0.0,0.0,0.0,0.0,0.0
80.43,30.0,0.0,0.0,0.0,0.0,0.0
80.48,30.0,0.0,0.0,0.0,0.0,0.0
80.53,30.0,0.0,0.0,0.0,0.0,0.0
80.58,30.0,0.0,0.0,0.0,0.0,0.0
80.63,30.0,0.0,0.0,0.0,0.0,0.0
80.68,30.0,0.0,0.0,0.0,0.0,0.0
80.73,30.0,0.0,0.0,0.0,0.0,0.0
80.78,30.0,0.0,0.0,0.0,0.0,0.0
80.83,30.0,0.0,0.0,0.0,0.0,0.0
80.88,30.0,0.0,0.0,0.0,0.0,0.0
80.93,30.0,0.0,0.0,0.0,0.0,0.0
80.98,30.0,0.0,0.0,0.0,0.0,0.0
81.03,30.0,0.0,0.0,0.0,0.0,0.0
81.08,30.0,0.0,0.0,0.0,0.0,0.0
81.13,30.0,0.0,0.0,0.0,0.0,0.0
81.18,30.0,0.0,0.0,0.0,0.0,0.0
81.23,30.0,0.0,0.0,0.0,0.0,0.0
81.28,30.0,0.0,0.0,0.0,0.0,0.0
81.33,30.0,0.0,0.0,0.0,0.0,0.0
81.38,30.0,0.0,0.0,0.0,0.0,0.0
81.43,30.0,0.0,0.0,0.0,0.0,0.0
81.48,30.0,0.0,0.0,0.0,0.0,0.0
81.53,30.0,0.0,0.0,0.0,0.0,0.0
81.58,30.0,0.0,0.0,0.0,0.0,0.0
81.63,30.0,0.0,0.0,0.0,0.0,0.0
81.68,30.0,0.0,0.0,0.0,0.0,0.0
81.73,30.0,0.0,0.0,0.0,0.0,0.0
81.78,30.0,0.0,0.0,0.0,0.0,0.0
81.83,30.0,0.0,0.0,0.0,0.0,0.0
81.88,30.0,0.0,0.0,0.0,0.0,0.0
81.93,30.0,0.0,0.0,0.0,0.0,0.0
81.98,30.0,0.0,0.0,0.0,0.0,0.0
82.03,30.0,0.0,0.0,0.0,0.0,0.0
82.08,30.0,0.0,0.0,0.0,0.0,0.0
82.13,30.0,0.0,0.0,0.0,0.0,0.0
82.18,30.0,0.0,0.0,0.0,0.0,0.0
82.23,30.0,0.0,0.0,0.0,0.0,0.0
82.28,30.0,0.0,0.0,0.0,0.0,0.0
82.33,30.0,0.0,0.0,0.0,0.0,0.0
82.38,30.0,0.0,0.0,0.0,0.0,0.0
82.43,30.0,0.0,0.0,0.0,0.0,0.0
82.48,30.0,0.0,0.0,0.0,0.0,0.0
82.53,30.0,0.0,0.0,0.0,0.0,0.0
82.58,30.0,0.0,0.0,0.0,0.0,0.0
82.63,30.0,0.0,0.0,0.0,0.0,0.0
82.68,30.0,0.0,0.0,0.0,0.0,0.0
82.73,30.0,0.0,0.0,0.0,0.0,0.0
82.78,30.0,0.0,0.0,0.0,0.0,0.0
82.83,30.0,0.0,0.0,0.0,0.0,0.0
82.88,30.0,0.0,0.0,0.0,0.0,0.0
82.93,30.0,0.0,0.0,0.0,0.0,0.0
82.98,30.0,0.0,0.0,0.0,0.0,0.0
83.03,30.0,0.0,0.0,0.0,0.0,0.0
83.08,30.0,0.0,0.0,0.0,0.0,0.0
83.13,30.0,0.0,0.0,0.0,0.0,0.0
83.18,30.0,0.0,0.0,0.0,0.0,0.0
83.23,30.0,0.0,0.0,0.0,0.0,0.0
83.28,30.0,0.0,0.0,0.0,0.0,0.0
83.33,30.0,0.0,0.0,0.0,0.0,0.0
83.38,30.0,0.0,0.0,0.0,0.0,0.0
83.43,30.0,0.0,0.0,0.0,0.0,0.0
83.48,30.0,0.0,0.0,0.0,0.0,0.0
83.53,30.0,0.0,0.0,0.0,0.0,0.0
83.58,30.0,0.0,0.0,0.0,0.0,0.0
83.63,30.0,0.0,0.0,0.0,0.0,0.0
83.68,30.0,0.0,0.0,0.0,0.0,0.0
83.73,30.0,0.0,0.0,0.0,0.0,0.0
83.78,30.0,0.0,0.0,0.0,0.0,0.0
83.83,30.0,0.0,0.0,0.0,0.0,0.0
83.88,30.0,0.0,0.0,0.0,0.0,0.0
83.93,30.0,0.0,0.0,0.0,0.0,0.0
83.98,30.0,0.0,0.0,0.0,0.0,0.0
84.03,30.0,0.0,0.0,0.0,0.0,0.0
84.08,30.0,0.0,0.0,0.0,0.0,0.0
84.13,30.0,0.0,0.0,0.0,0.0,0.0
84.18,30.0,0.0,0.0,0.0,0.0,0.0
84.23,30.0,0.0,0.0,0.0,0.0,0.0
84.28,30.0,0.0,0.0,0.0,0.0,0.0
84.33,30.0,0.0,0.0,0.0,0.0,0.0
84.38,30.0,0.0,0.0,0.0,0.0,0.0
84.43,30.0,0.0,0.0,0.0,0.0,0.0
84.48,30.0,0.0,0.0,0.0,0.0,0.0
84.53,30.0,0.0,0.0,0.0,0.0,0.0
84.58,30.0,0.0,0.0,0.0,0.0,0.0
84.63,30.0,0.0,0.0,0.0,0.0,0.0
84.68,30.0,0.0,0.0,0.0,0.0,0.0
84.73,30.0,0.0,0.0,0.0,0.0,0.0
84.78,30.0,0.0,0.0,0.0,0.0,0.0
84.83,30.0,0.0,0.0,0.0,0.0,0.0
84.88,30.0,0.0,0.0,0.0,0.0,0.0
84.93,30.0,0.0,0.0,0.0,0.0,0.0
84.98,30.0,0.0,0.0,0.0,0.0,0.0
85.03,30.0,0.0,0.0,0.0,0.0,0.0
85.08,30.0,0.0,0.0,0.0,0.0,0.0
85.13,30.0,0.0,0.0,0.0,0.0,0.0
85.18,30.0,0.0,0.0,0.0,0.0,0.0
85.23,30.0,0.0,0.0,0.0,0.0,0.0
85.28,30.0,0.0,0.0,0.0,0.0,0.0
85.33,30.0,0.0,0.0,0.0,0.0,0.0
85.38,30.0,0.0,0.0,0.0,0.0,0.0
85.43,30.0,0.0,0.0,0.0,0.0,0.0
85.48,30.0,0.0,0.0,0.0,0.0,0.0
85.53,30.0,0.0,0.0,0.0,0.0,0.0
85.58,30.0,0.0,0.0,0.0,0.0,0.0
85.63,30.0,0.0,0.0,0.0,0.0,0.0
85.68,30.0,0.0,0.0,0.0,0.0,0.0
85.73,30.0,0.0,0.0,0.0,0.0,0.0
85.78,30.0,0.0,0.0,0.0,0.0,0.0
85.83,30.0,0.0,0.0,0.0,0.0,0.0
85.88,30.0,0.0,0.0,0.0,0.0,0.0
85.93,30.0,0.0,0.0,0.0,0.0,0.0
85.98,30.0,0.0,0.0,0.0,0.0,0.0
86.03,30.0,0.0,0.0,0.0,0.0,0.0
86.08,30.0,0.0,0.0,0.0,0.0,0.0
86.13,30.0,0.0,0.0,0.0,0.0,0.0
86.18,30.0,0.0,0.0,0.0,0.0,0.0
86.23,30.0,0.0,0.0,0.0,0.0,0.0
86.28,30.0,0.0,0.0,0.0,0.0,0.0
86.33,30.0,0.0,0.0,0.0,0.0,0.0
86.38,30.0,0.0,0.0,0.0,0.0,0.0
86.43,30.0,0.0,0.0,0.0,0.0,0.0
86.48,30.0,0.0,0.0,0.0,0.0,0.0
86.53,30.0,0.0,0.0,0.0,0.0,0.0
86.58,30.0,0.0,0.0,0.0,0.0,0.0
86.63,30.0,0.0,0.0,0.0,0.0,0.0
86.68,30.0,0.0,0.0,0.0,0.0,0.0
86.73,30.0,0.0,0.0,0.0,0.0,0.0
86.78,30.0,0.0,0.0,0.0,0.0,0.0
86.83,30.0,0.0,0.0,0.0,0.0,0.0
86.88,30.0,0.0,0.0,0.0,0.0,0.0
86.93,30.0,0.0,0.0,0.0,0.0,0.0
86.98,30.0,0.0,0.0,0.0,0.0,0.0
87.03,30.0,0.0,0.0,0.0,0.0,0.0
87.08,30.0,0.0,0.0,0.0,0.0,0.0
87.13,30.0,0.0,0.0,0.0,0.0,0.0
87.18,30.0,0.0,0.0,0.0,0.0,0.0
87.23,30.0,0.0,0.0,0.0,0.0,0.0
87.28,30.0,0.0,0.0,0.0,0.0,0.0
87.33,30.0,0.0,0.0,0.0,0.0,0.0
87.38,30.0,0.0,0.0,0.0,0.0,0.0
87.43,30.0,0.0,0.0,0.0,0.0,0.0
87.48,30.0,0.0,0.0,0.0,0.0,0.0
87.53,30.0,0.0,0.0,0.0,0.0,0.0
87.58,30.0,0.0,0.0,0.0,0.0,0.0
87.63,30.0,0.0,0.0,0.0,0.0,0.0
87.68,30.0,0.0,0.0,0.0,0.0,0.0
87.73,30.0,0.0,0.0,0.0,0.0,0.0
87.78,30.0,0.0,0.0,0.0,0.0,0.0
87.83,30.0,0.0,0.0,0.0,0.0,0.0
87.88,30.0,0.0,0.0,0.0,0.0,0.0
87.93,30.0,0.0,0.0,0.0,0.0,0.0
87.98,30.0,0.0,0.0,0.0,0.0,0.0
88.03,30.0,0.0,0.0,0.0,0.0,0.0
88.08,30.0,0.0,0.0,0.0,0.0,0.0
88.13,30.0,0.0,0.0,0.0,0.0,0.0
88.18,30.0,0.0,0.0,0.0,0.0,0.0
88.23,30.0,0.0,0.0,0.0,0.0,0.0
88.28,30.0,0.0,0.0,0.0,0.0,0.0
88.33,30.0,0.0,0.0,0.0,0.0,0.0
88.38,30.0,0.0,0.0,0.0,0.0,0.0
88.43,30.0,0.0,0.0,0.0,0.0,0.0
88.48,30.0,0.0,0.0,0.0,0.0,0.0
88.53,30.0,0.0,0.0,0.0,0.0,0.0
88.58,30.0,0.0,0.0,0.0,0.0,0.0
88.63,30.0,0.0,0.0,0.0,0.0,0.0
88.68,30.0,0.0,0.0,0.0,0.0,0.0
88.73,30.0,0.0,0.0,0.0,0.0,0.0
88.78,30.0,0.0,0.0,0.0,0.0,0.0
88.83,30.0,0.0,0.0,0.0,0.0,0.0
88.88,30.0,0.0,0.0,0.0,0.0,0.0
88.93,30.0,0.0,0.0,0.0,0.0,0.0
88.98,30.0,0.0,0.0,0.0,0.0,0.0
89.03,30.0,0.0,0.0,0.0,0.0,0.0
89.08,30.0,0.0,0.0,0.0,0.0,0.0
89.13,30.0,0.0,0.0,0.0,0.0,0.0
89.18,30.0,0.0,0.0,0.0,0.0,0.0
89.23,30.0,0.0,0.0,0.0,0.0,0.0
89.28,30.0,0.0,0.0,0.0,0.0,0.0
89.33,30.0,0.0,0.0,0.0,0.0,0.0
89.38,30.0,0.0,0.0,0.0,0.0,0.0
89.43,30.0,0.0,0.0,0.0,0.0,0.0
89.48,30.0,0.0,0.0,0.0,0.0,0.0
89.53,30.0,0.0,0.0,0.0,0.0,0.0
89.58,30.0,0.0,0.0,0.0,0.0,0.0
89.63,30.0,0.0,0.0,0.0,0.0,0.0
89.68,30.0,0.0,0.0,0.0,0.0,0.0
89.73,30.0,0.0,0.0,0.0,0.0,0.0
89.78,30.0,0.0,0.0,0.0,0.0,0.0
89.83,30.0,0.0,0.0,0.0,0.0,0.0
89.88,30.0,0.0,0.0,0.0,0.0,0.0
89.93,30.0,0.0,0.0,0.0,0.0,0.0
89.98,30.0,0.0,0.0,0.0,0.0,0.0
90.03,30.0,0.0,0.0,0.0,0.0,0.0
90.08,30.0,0.0,0.0,0.0,0.0,0.0
90.13,30.0,0.0,0.0,0.0,0.0,0.0
90.18,30.0,0.0,0.0,0.0,0.0,0.0
90.23,30.0,0.0,0.0,0.0,0.0,0.0
