Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
55.55,0.0,0.0,0.0,0.0,0.0,-1.604680927974941
55.6,0.0,0.0,0.0,0.0,0.0,-1.6046899658965508
55.65,0.0,0.0,0.0,0.0,0.0,-1.604695988785115
55.7,0.0,0.0,0.0,0.0,0.0,-1.6047020097603442
55.75,0.0,0.0,0.0,0.0,0.0,-1.6047423918836488
55.8,0.0,0.0,0.0,0.0,0.0,-1.6047230681144378
55.85,0.0,0.0,0.0,0.0,0.0,-1.6047514127710492
55.9,0.0,0.0,0.0,0.0,0.0,-1.6047574243073897
55.95,0.0,0.0,0.0,0.0,0.0,-1.604772444792359
56.0,0.0,0.0,0.0,0.0,0.0,-1.6047531108801756
56.05,0.0,0.0,0.0,0.0,0.0,-1.6047591137074058
56.1,0.0,0.0,0.0,0.0,0.0,-1.6047651146273367
56.15,0.0,0.0,0.0,0.0,0.0,-1.6047994516082664
56.2,0.0,0.0,0.0,0.0,0.0,-1.6047801085864968
56.25,0.0,0.0,0.0,0.0,0.0,-1.6047890992455467
56.3,0.0,0.0,0.0,0.0,0.0,-1.6047950906375883
56.35,0.0,0.0,0.0,0.0,0.0,-1.604801080125772
56.4,0.0,0.0,0.0,0.0,0.0,-1.6048354006604462
56.45,0.0,0.0,0.0,0.0,0.0,-1.6048160455206144
56.5,0.0,0.0,0.0,0.0,0.0,-1.6048250190513884
56.55,0.0,0.0,0.0,0.0,0.0,-1.6048309990288765
56.6,0.0,0.0,0.0,0.0,0.0,-1.6048369771059425
56.65,0.0,0.0,0.0,0.0,0.0,-1.6048772546552852
56.7,0.0,0.0,0.0,0.0,0.0,-1.6048578854181095
56.75,0.0,0.0,0.0,0.0,0.0,-1.6048921799529339
56.8,0.0,0.0,0.0,0.0,0.0,-1.6048981467512107
56.85,0.0,0.0,0.0,0.0,0.0,-1.604878770481627
56.9,0.0,0.0,0.0,0.0,0.0,-1.6048877141122706
56.95,0.0,0.0,0.0,0.0,0.0,-1.6048936741638395
57.0,0.0,0.0,0.0,0.0,0.0,-1.6048996323209859
57.05,0.0,0.0,0.0,0.0,0.0,-1.60490558858428
57.1,0.0,0.0,0.0,0.0,0.0,-1.6049398612626231
57.15,0.0,0.0,0.0,0.0,0.0,-1.6049487880136328
57.2,0.0,0.0,0.0,0.0,0.0,-1.604954736816002
57.25,0.0,0.0,0.0,0.0,0.0,-1.6049353415129193
57.3,0.0,0.0,0.0,0.0,0.0,-1.6049442581724107
57.35,0.0,0.0,0.0,0.0,0.0,-1.6049502002499794
57.4,0.0,0.0,0.0,0.0,0.0,-1.6049561404385382
57.45,0.0,0.0,0.0,0.0,0.0,-1.6049963255077675
57.5,0.0,0.0,0.0,0.0,0.0,-1.6049769162307541
57.55,0.0,0.0,0.0,0.0,0.0,-1.6050111561898364
57.6,0.0,0.0,0.0,0.0,0.0,-1.6049917419325346
57.65,0.0,0.0,0.0,0.0,0.0,-1.6049976689139465
57.7,0.0652277586180325,0.0,0.0,0.0,0.0,-1.0863085711115656
57.75,0.3590224992047674,0.0,0.0,0.0,0.0,-0.34215780494674125
57.8,0.5383715480323875,0.0,0.0,0.0,0.0,-0.24161260253120428
57.85,9.85698788092974,0.0,0.0,0.0,0.0,-0.043994266725264575
57.9,18.020723598413102,0.0,0.0,0.0,0.0,-0.03642163583376125
57.95,21.330677396701713,0.0,0.0,0.0,0.0,-0.033346566333550716
58.0,20.087062860491084,0.0,0.0,0.0,0.0,-0.029678980746105678
