Time,data
55.46,2
55.5,2
55.55,2
55.6,2
55.65,2
55.7,2
55.75,2
55.8,2
55.85,2
55.9,2
55.95,2
56.0,2
56.05,2
56.1,2
56.15,2
56.2,2
56.25,2
56.3,2
56.35,2
56.4,2
56.45,2
56.5,2
56.55,2
56.6,2
56.65,2
56.7,2
56.75,2
56.8,2
56.85,2
56.9,2
56.95,2
57.0,2
57.05,2
57.1,2
57.15,2
57.2,2
57.25,2
57.3,2
57.35,2
57.4,2
57.45,2
57.5,2
57.55,2
57.6,2
57.65,2
57.7,2
57.75,2
57.8,1
57.85,1
57.9,1
57.95,1
58.0,1
58.05,1
58.1,2
58.15,2
58.2,2
58.25,2
58.3,2
58.35,2
58.4,2
58.45,2
58.5,2
58.55,2
58.6,2
58.65,2
58.7,2
58.75,2
58.8,2
58.85,2
58.9,2
58.95,2
59.0,2
59.05,2
59.1,2
59.15,2
59.2,2
59.25,2
59.3,2
59.35,2
59.4,2
59.45,2
59.5,2
59.55,2
59.6,2
59.65,2
59.7,2
59.75,2
59.8,2
59.85,2
59.9,2
59.95,2
60.0,2
60.05,2
60.1,1
60.15,1
60.2,1
60.25,1
60.3,1
60.35,2
60.4,2
60.45,2
60.5,2
60.55,2
60.6,2
60.65,2
60.7,1
60.75,1
60.8,1
60.85,1
60.9,1
60.95,2
61.0,2
61.05,2
61.1,2
61.15,2
61.2,2
61.25,2
61.3,2
61.35,2
61.4,2
61.45,2
61.5,2
61.55,2
61.6,2
61.65,2
61.7,2
61.75,2
61.8,2
61.85,2
61.9,2
61.95,2
62.0,1
62.05,1
62.1,1
62.15,1
62.2,2
62.25,2
62.3,2
62.35,2
62.4,2
62.45,2
62.5,2
62.55,2
62.6,2
62.65,2
62.7,2
62.75,2
62.8,2
62.85,2
62.9,2
62.95,2
63.0,2
63.05,2
63.1,2
63.15,2
63.2,2
63.25,2
63.3,2
63.35,2
63.4,2
63.45,2
63.5,2
63.55,2
63.6,2
63.65,2
63.7,2
63.75,2
63.8,2
63.85,2
63.9,2
63.95,2
64.0,2
64.05,2
64.1,2
64.15,2
64.2,2
64.25,2
64.3,2
64.35,2
64.4,2
64.45,2
64.5,2
64.55,2
64.6,2
64.65,2
64.7,2
64.75,2
64.8,2
64.85,2
64.9,2
64.95,2
65.0,2
65.05,2
65.1,2
