Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
55.46,30.0,0.0,0.0,0.0,0.0,0.0
55.5,30.0,0.0,0.0,0.0,0.0,0.0
55.55,30.0,0.0,0.0,0.0,0.0,0.0
55.6,30.0,0.0,0.0,0.0,0.0,0.0
55.65,30.0,0.0,0.0,0.0,0.0,0.0
55.7,30.0,0.0,0.0,0.0,0.0,0.0
55.75,30.0,0.0,0.0,0.0,0.0,0.0
55.8,30.0,0.0,0.0,0.0,0.0,0.0
55.85,30.0,0.0,0.0,0.0,0.0,0.0
55.9,30.0,0.0,0.0,0.0,0.0,0.0
55.95,30.0,0.0,0.0,0.0,0.0,0.0
56.0,30.0,0.0,0.0,0.0,0.0,0.0
56.05,30.0,0.0,0.0,0.0,0.0,0.0
56.1,30.0,0.0,0.0,0.0,0.0,0.0
56.15,30.0,0.0,0.0,0.0,0.0,0.0
56.2,30.0,0.0,0.0,0.0,0.0,0.0
56.25,30.0,0.0,0.0,0.0,0.0,0.0
56.3,30.0,0.0,0.0,0.0,0.0,0.0
56.35,30.0,0.0,0.0,0.0,0.0,0.0
56.4,30.0,0.0,0.0,0.0,0.0,0.0
56.45,30.0,0.0,0.0,0.0,0.0,0.0
56.5,30.0,0.0,0.0,0.0,0.0,0.0
56.55,30.0,0.0,0.0,0.0,0.0,0.0
56.6,30.0,0.0,0.0,0.0,0.0,0.0
56.65,30.0,0.0,0.0,0.0,0.0,0.0
56.7,30.0,0.0,0.0,0.0,0.0,0.0
56.75,30.0,0.0,0.0,0.0,0.0,0.0
56.8,30.0,0.0,0.0,0.0,0.0,0.0
56.85,30.0,0.0,0.0,0.0,0.0,0.0
56.9,30.0,0.0,0.0,0.0,0.0,0.0
56.95,30.0,0.0,0.0,0.0,0.0,0.0
57.0,30.0,0.0,0.0,0.0,0.0,0.0
57.05,30.0,0.0,0.0,0.0,0.0,0.0
57.1,30.0,0.0,0.0,0.0,0.0,0.0
57.15,30.0,0.0,0.0,0.0,0.0,0.0
57.2,30.0,0.0,0.0,0.0,0.0,0.0
57.25,30.0,0.0,0.0,0.0,0.0,0.0
57.3,30.0,0.0,0.0,0.0,0.0,0.0
57.35,30.0,0.0,0.0,0.0,0.0,0.0
57.4,30.0,0.0,0.0,0.0,0.0,0.0
57.45,30.0,0.0,0.0,0.0,0.0,0.0
57.5,30.0,0.0,0.0,0.0,0.0,0.0
57.55,30.0,0.0,0.0,0.0,0.0,0.0
57.6,30.0,0.0,0.0,0.0,0.0,0.0
57.65,30.0,0.0,0.0,0.0,0.0,0.0
57.7,30.0,0.0,0.0,0.0,0.0,0.0
57.75,30.0,0.0,0.0,0.0,0.0,0.0
57.8,30.0,0.0,0.0,0.0,0.0,0.0
57.85,30.0,0.0,0.0,0.0,0.0,0.0
57.9,30.0,0.0,0.0,0.0,0.0,0.0
57.95,30.0,0.0,0.0,0.0,0.0,0.0
58.0,30.0,0.0,0.0,0.0,0.0,0.0
58.05,30.0,0.0,0.0,0.0,0.0,0.0
58.1,30.0,0.0,0.0,0.0,0.0,0.0
58.15,30.0,0.0,0.0,0.0,0.0,0.0
58.2,30.0,0.0,0.0,0.0,0.0,0.0
58.25,30.0,0.0,0.0,0.0,0.0,0.0
58.3,30.0,0.0,0.0,0.0,0.0,0.0
58.35,30.0,0.0,0.0,0.0,0.0,0.0
58.4,30.0,0.0,0.0,0.0,0.0,0.0
58.45,30.0,0.0,0.0,0.0,0.0,0.0
58.5,30.0,0.0,0.0,0.0,0.0,0.0
58.55,30.0,0.0,0.0,0.0,0.0,0.0
58.6,30.0,0.0,0.0,0.0,0.0,0.0
58.65,30.0,0.0,0.0,0.0,0.0,0.0
58.7,30.0,0.0,0.0,0.0,0.0,0.0
58.75,30.0,0.0,0.0,0.0,0.0,0.0
58.8,30.0,0.0,0.0,0.0,0.0,0.0
58.85,30.0,0.0,0.0,0.0,0.0,0.0
58.9,30.0,0.0,0.0,0.0,0.0,0.0
58.95,30.0,0.0,0.0,0.0,0.0,0.0
59.0,30.0,0.0,0.0,0.0,0.0,0.0
59.05,30.0,0.0,0.0,0.0,0.0,0.0
59.1,30.0,0.0,0.0,0.0,0.0,0.0
59.15,30.0,0.0,0.0,0.0,0.0,0.0
59.2,30.0,0.0,0.0,0.0,0.0,0.0
59.25,30.0,0.0,0.0,0.0,0.0,0.0
59.3,30.0,0.0,0.0,0.0,0.0,0.0
59.35,30.0,0.0,0.0,0.0,0.0,0.0
59.4,30.0,0.0,0.0,0.0,0.0,0.0
59.45,30.0,0.0,0.0,0.0,0.0,0.0
59.5,30.0,0.0,0.0,0.0,0.0,0.0
59.55,30.0,0.0,0.0,0.0,0.0,0.0
59.6,30.0,0.0,0.0,0.0,0.0,0.0
59.65,30.0,0.0,0.0,0.0,0.0,0.0
59.7,30.0,0.0,0.0,0.0,0.0,0.0
59.75,30.0,0.0,0.0,0.0,0.0,0.0
59.8,30.0,0.0,0.0,0.0,0.0,0.0
59.85,30.0,0.0,0.0,0.0,0.0,0.0
59.9,30.0,0.0,0.0,0.0,0.0,0.0
59.95,30.0,0.0,0.0,0.0,0.0,0.0
60.0,30.0,0.0,0.0,0.0,0.0,0.0
60.05,30.0,0.0,0.0,0.0,0.0,0.0
60.1,30.0,0.0,0.0,0.0,0.0,0.0
60.15,30.0,0.0,0.0,0.0,0.0,0.0
60.2,30.0,0.0,0.0,0.0,0.0,0.0
60.25,30.0,0.0,0.0,0.0,0.0,0.0
60.3,30.0,0.0,0.0,0.0,0.0,0.0
60.35,30.0,0.0,0.0,0.0,0.0,0.0
60.4,30.0,0.0,0.0,0.0,0.0,0.0
60.45,30.0,0.0,0.0,0.0,0.0,0.0
60.5,30.0,0.0,0.0,0.0,0.0,0.0
60.55,30.0,0.0,0.0,0.0,0.0,0.0
60.6,30.0,0.0,0.0,0.0,0.0,0.0
