Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
55.7,0.0,0.0,0.0,0.0,0.0,-1.5804517651609877
55.74,0.0,0.0,0.0,0.0,0.0,-1.5804646985197852
55.8,0.0,0.0,0.0,0.0,0.0,-1.5805017093897504
55.85,0.0,0.0,0.0,0.0,0.0,-1.5805211093279994
55.89,0.0,0.0,0.0,0.0,0.0,-1.5805340407323127
55.95,0.0,0.0,0.0,0.0,0.0,-1.580546970626521
56.0,0.0,0.0,0.0,0.0,0.0,-1.5805598990107754
56.05,0.0,0.0,0.0,0.0,0.0,-1.5805551897678751
56.1,0.0,0.0,0.0,0.0,0.0,-1.5805745711301775
56.15,0.0,0.0,0.0,0.0,0.0,-1.5805874901528136
56.2,0.0,0.0,0.0,0.0,0.0,-1.5806245182880063
56.25,0.0,0.0,0.0,0.0,0.0,-1.5806438967136927
56.3,0.0,0.0,0.0,0.0,0.0,-1.5806568137780836
56.35,0.0,0.0,0.0,0.0,0.0,-1.580669729333796
56.4,0.0,0.0,0.0,0.0,0.0,-1.5806778810878914
56.45,0.0,0.0,0.0,0.0,0.0,-1.5807149219000938
56.5,0.0,0.0,0.0,0.0,0.0,-1.5807101456636763
56.55,0.0,0.0,0.0,0.0,0.0,-1.5807471909941424
56.6,0.0,0.0,0.0,0.0,0.0,-1.5807600959932602
56.65,0.0,0.0,0.0,0.0,0.0,-1.5807553002482486
56.69,0.0,0.0,0.0,0.0,0.0,-1.5807746465639043
56.75,0.0,0.0,0.0,0.0,0.0,-1.5808052516196216
56.8,0.0,0.0,0.0,0.0,0.0,-1.5808004363800958
56.85,0.0,0.0,0.0,0.0,0.0,-1.5808197747893677
56.9,0.0,0.0,0.0,0.0,0.0,-1.5808503887854715
56.94,0.0,0.0,0.0,0.0,0.0,-1.5808455540655084
57.0,0.0,0.0,0.0,0.0,0.0,-1.5808826183193374
57.04,0.0,0.0,0.0,0.0,0.0,-1.580901951521193
57.1,0.0,0.0,0.0,0.0,0.0,-1.580914838440039
57.15,0.0,0.0,0.0,0.0,0.0,-1.5809406077606416
57.2,0.0,0.0,0.0,0.0,0.0,-1.5809357341220232
57.25,0.0,0.0,0.0,0.0,0.0,-1.5809728109433392
57.29,0.0,0.0,0.0,0.0,0.0,-1.5809679234188425
57.34,0.0,0.0,0.0,0.0,0.0,-1.5809807965055358
57.4,0.0,0.0,0.0,0.0,0.0,-1.581017879596102
57.45,0.0,0.0,0.0,0.0,0.0,-1.5810371890904071
57.5,0.0,0.0,0.0,0.0,0.0,-1.5810500602061026
